id,City,Country
1,Sahnaiya,Syria
2,Pankshin,Nigeria
3,Froly,Russia
4,Nytva,Russia
5,Loujiadian,China
6,Dongdu,China
7,Caikouji,China
8,Bombu,Indonesia
9,Santo Amaro,Portugal
10,Takahashi,Japan
11,Xiaoya,China
12,Yongchuan,China
13,Dayr Abū Ḑa‘īf,Palestinian Territory
14,Perm,Russia
15,La Julia,Dominican Republic
16,Khovaling,Tajikistan
17,Putre,Chile
18,Nevesinje,Bosnia and Herzegovina
19,Paseka,Czech Republic
20,Yangxu,China
21,Kut Chap,Thailand
22,Mekarjaya,Indonesia
23,Manadas,Portugal
24,Pathum Thani,Thailand
25,Agana Heights Village,Guam
26,Ibarra,Ecuador
27,Huangbei,China
28,Kembang,Indonesia
29,Diamante,Argentina
30,Ainaro,East Timor
31,Banjar Jambe Baleran,Indonesia
32,Verkhnya Syrovatka,Ukraine
33,Bronx,United States
34,Krajan Gajahmati,Indonesia
35,Changxuanling,China
36,Pilang,Indonesia
37,Huanggangshan,China
38,Melíki,Greece
39,Caba,Philippines
40,Surcubamba,Peru
41,Draginje,Serbia
42,Panganiban,Philippines
43,Hutou,China
44,Tumba,Sweden
45,Halmstad,Sweden
46,Jiamiao,China
47,Heqiao,China
48,Padasuka,Indonesia
49,Sumberan,Indonesia
50,El Paso,United States
51,Zhouzai,China
52,Burgas,Bulgaria
53,Nanxindian,China
54,Nakhon Nayok,Thailand
55,Banisilan,Philippines
56,Doushaguan,China
57,Lampa,Indonesia
58,Camaquã,Brazil
59,Jeremi,Haiti
60,Ucluelet,Canada
61,San Matías,Bolivia
62,Strazhitsa,Bulgaria
63,Menzel Abderhaman,Tunisia
64,Baizhang,China
65,Vidin,Bulgaria
66,New Iloilo,Philippines
67,Kyriáki,Greece
68,Ansan-si,South Korea
69,Helsingborg,Sweden
70,Agodim,Portugal
71,Gardutanjak,Indonesia
72,Firenze,Italy
73,Bolengpulau,Indonesia
74,Sitajara,Peru
75,Urek-urek,Indonesia
76,Mocímboa,Mozambique
77,Starobaltachevo,Russia
78,Coasa,Peru
79,Balykchy,Kyrgyzstan
80,Zmeyskaya,Russia
81,Hongqi Yingzi,China
82,Vannes,France
83,Krzyżanowice,Poland
84,Shuangxi,China
85,Paris 18,France
86,Junshan,China
87,Khanu Woralaksaburi,Thailand
88,Wuluhan,Indonesia
89,Dmitrov,Russia
90,Dingqiao,China
91,Ibshawāy,Egypt
92,Tarica,Peru
93,Tubungan,Philippines
94,Sumberejo,Indonesia
95,San Javier,Chile
96,Santa Rosa,United States
97,Gandiaye,Senegal
98,Mensalong,Indonesia
99,Jiuchi,China
100,Wangjiachang,China
101,Succha,Peru
102,Pilzno,Poland
103,Kitahama,Japan
104,Uromi,Nigeria
105,Plaza Huincul,Argentina
106,Mizdah,Libya
107,Kafr Zībād,Palestinian Territory
108,Belén de Escobar,Argentina
109,Barreiro,Portugal
110,Bella Vista,Paraguay
111,Shibi,China
112,Caibarién,Cuba
113,Taveiro,Portugal
114,Jaguarão,Brazil
115,Naranjal,Paraguay
116,Siquisique,Venezuela
117,Korolevo,Ukraine
118,Cerkvenjak,Slovenia
119,Misawa,Japan
120,Joroan,Philippines
121,Saint-Denis,France
122,Jinhe,China
123,Veliko Tŭrnovo,Bulgaria
124,New Orleans,United States
125,Daşoguz,Turkmenistan
126,Cikalaces,Indonesia
127,Pīshvā,Iran
128,Rio das Pedras,Brazil
129,Jiangyi,China
130,Adirejo,Indonesia
131,Uenohara,Japan
132,Hebeitun,China
133,Longsheng,China
134,Gorelovo,Russia
135,Thị Trấn Cẩm Thủy,Vietnam
136,Kobryn,Belarus
137,Ramotswa,Botswana
138,Villa Constitución,Argentina
139,Huamu,China
140,Namasuba,Uganda
141,Jidong,China
142,Kabale,Uganda
143,Cachoeiras de Macacu,Brazil
144,Tanushimarumachi-toyoki,Japan
145,Bourg-lès-Valence,France
146,Tallahassee,United States
147,Kototujuh,Indonesia
148,Otutara,French Polynesia
149,Créteil,France
150,Basīrpur,Pakistan
151,Barkā’,Oman
152,Krajan Satu,Indonesia
153,Magallanes,Philippines
154,Lepaterique,Honduras
155,Karangharjo,Indonesia
156,Pagangan,Philippines
157,Mezhevoy,Russia
158,Elekmonar,Russia
159,Balakliya,Ukraine
160,Santa Cruz do Sul,Brazil
161,El Corozo,Venezuela
162,Preobrazhenka,Ukraine
163,Vale Flores,Portugal
164,Orlando,United States
165,Yiyang,China
166,Korostyshiv,Ukraine
167,Birendranagar,Nepal
168,Sai,Indonesia
169,Lynchburg,United States
170,Maliang,Indonesia
171,San Pedro,Philippines
172,les Escaldes,Andorra
173,Blama,Sierra Leone
174,Santana do Livramento,Brazil
175,Ciguna,Indonesia
176,Fatuhilik,Indonesia
177,Jacksonville,United States
178,Yinxi,China
179,Pātan,Nepal
180,Pak Phanang,Thailand
181,Beya,Russia
182,Sanjiangkou,China
183,Lüxiang,China
184,Cockburn Town,Turks and Caicos Islands
185,Kuta,Nigeria
186,Jardim da Serra,Portugal
187,Milwaukee,United States
188,Wangcun,China
189,Gyumri,Armenia
190,Miaotou,China
191,Chafé,Portugal
192,Chernyanka,Russia
193,Chwałowice,Poland
194,Hartford,United States
195,Rybatskoye,Russia
196,Xiangtan,China
197,Piedra del Águila,Argentina
198,Xiongbei,China
199,Yuli,Nigeria
200,Daxin,China
